date,usage
2022-04-30-12-25,49
2022-04-30-12-26,47
2022-04-30-12-27,46
2022-04-30-12-28,47
2022-04-30-12-29,45
2022-04-30-12-30,46
2022-04-30-12-31,45
2022-04-30-12-32,46
2022-04-30-12-33,45
2022-04-30-12-34,48
2022-04-30-12-35,46
2022-04-30-12-36,48
2022-04-30-12-37,51
2022-04-30-12-38,50
2022-04-30-12-39,50
2022-04-30-12-40,49
2022-04-30-12-41,47
2022-04-30-12-42,42
2022-04-30-12-43,42
2022-04-30-12-44,46
2022-04-30-12-45,47
2022-04-30-12-46,47
2022-04-30-12-47,48
2022-04-30-12-48,48
2022-04-30-12-49,48
2022-04-30-12-50,46
2022-04-30-12-51,44
2022-04-30-12-52,44
2022-04-30-12-53,44
2022-04-30-12-54,44
2022-04-30-12-55,43
2022-04-30-12-56,43
2022-04-30-12-57,43
2022-04-30-12-58,44
2022-04-30-12-59,44
2022-04-30-13-00,45
2022-04-30-13-01,45
2022-04-30-13-02,43
2022-04-30-13-03,42
2022-04-30-13-04,40
2022-04-30-13-05,38
2022-04-30-13-06,38
2022-04-30-13-07,36
2022-04-30-13-08,37
2022-04-30-13-09,37
2022-04-30-13-10,36
2022-04-30-13-11,37
2022-04-30-13-12,36
2022-04-30-13-13,40
2022-04-30-13-14,40
2022-04-30-13-15,41
2022-04-30-13-16,42
2022-04-30-13-17,41
2022-04-30-13-18,39
2022-04-30-13-19,40
2022-04-30-13-20,41
2022-04-30-13-21,41
2022-04-30-13-22,43
2022-04-30-13-23,41
2022-04-30-13-24,40
2022-04-30-13-25,40
2022-04-30-13-26,41
2022-04-30-13-27,41
2022-04-30-13-28,39
2022-04-30-13-29,40
2022-04-30-13-30,42
2022-04-30-13-31,44
2022-04-30-13-32,44
2022-04-30-13-33,44
2022-04-30-13-34,45
2022-04-30-13-35,45
2022-04-30-13-36,44
2022-04-30-13-37,42
2022-04-30-13-38,42
2022-04-30-13-39,44
2022-04-30-13-40,44
2022-04-30-13-41,45
2022-04-30-13-42,45
2022-04-30-13-43,46
2022-04-30-13-44,47
2022-04-30-13-45,47
2022-04-30-13-46,49
2022-04-30-13-47,48
2022-04-30-13-48,52
2022-04-30-13-49,54
2022-04-30-13-50,56
2022-04-30-13-51,56
2022-04-30-13-52,56
2022-04-30-13-53,55
2022-04-30-13-54,55
2022-04-30-13-55,53
2022-04-30-13-56,50
2022-04-30-13-57,50
2022-04-30-13-58,48
2022-04-30-13-59,48
2022-04-30-14-00,49
2022-04-30-14-01,48
2022-04-30-14-02,48
2022-04-30-14-03,48
2022-04-30-14-04,48
2022-04-30-14-05,48
2022-04-30-14-06,46
2022-04-30-14-07,44
2022-04-30-14-08,43
2022-04-30-14-09,43
2022-04-30-14-10,43
2022-04-30-14-11,43
2022-04-30-14-12,43
2022-04-30-14-13,44
2022-04-30-14-14,44
2022-04-30-14-15,46
2022-04-30-14-16,45
2022-04-30-14-17,46
2022-04-30-14-18,45
2022-04-30-14-19,44
2022-04-30-14-20,44
2022-04-30-14-21,47
2022-04-30-14-22,48
2022-04-30-14-23,50
2022-04-30-14-24,50
2022-04-30-14-25,51
2022-04-30-14-26,49
2022-04-30-14-27,48
2022-04-30-14-28,49
2022-04-30-14-29,49
2022-04-30-14-30,50
2022-04-30-14-31,48
2022-04-30-14-32,48
2022-04-30-14-33,50
2022-04-30-14-34,47
2022-04-30-14-35,48
2022-04-30-14-36,47
2022-04-30-14-37,50
2022-04-30-14-38,50
2022-04-30-14-39,46
2022-04-30-14-40,44
2022-04-30-14-41,44
2022-04-30-14-42,46
2022-04-30-14-43,47
2022-04-30-14-44,45
2022-04-30-14-45,46
2022-04-30-14-46,44
2022-04-30-14-47,45
2022-04-30-14-48,45
2022-04-30-14-49,47
2022-04-30-14-50,47
2022-04-30-14-51,45
2022-04-30-14-52,43
2022-04-30-14-53,42
2022-04-30-14-54,41
2022-04-30-14-55,40
2022-04-30-14-56,40
2022-04-30-14-57,40
2022-04-30-14-58,39
2022-04-30-14-59,39
2022-04-30-15-00,40
2022-04-30-15-01,40
2022-04-30-15-02,41
2022-04-30-15-03,41
2022-04-30-15-04,41
2022-04-30-15-05,42
2022-04-30-15-06,43
2022-04-30-15-07,44
2022-04-30-15-08,43
2022-04-30-15-09,42
2022-04-30-15-10,45
2022-04-30-15-11,43
2022-04-30-15-12,44
2022-04-30-15-13,44
2022-04-30-15-14,42
2022-04-30-15-15,41
2022-04-30-15-16,41
2022-04-30-15-17,43
2022-04-30-15-18,43
2022-04-30-15-19,45
2022-04-30-15-20,44
2022-04-30-15-21,39
2022-04-30-15-22,39
2022-04-30-15-23,41
2022-04-30-15-24,42
2022-04-30-15-25,41
2022-04-30-15-26,41
2022-04-30-15-27,41
2022-04-30-15-28,40
2022-04-30-15-29,41
2022-04-30-15-30,41
2022-04-30-15-31,42
2022-04-30-15-32,41
2022-04-30-15-33,38
2022-04-30-15-34,37
2022-04-30-15-35,35
2022-04-30-15-36,35
2022-04-30-15-37,36
2022-04-30-15-38,37
2022-04-30-15-39,37
2022-04-30-15-40,37
2022-04-30-15-41,37
2022-04-30-15-42,38
2022-04-30-15-43,37
2022-04-30-15-44,43
2022-04-30-15-45,42
2022-04-30-15-46,42
2022-04-30-15-47,41
2022-04-30-15-48,38
2022-04-30-15-49,35
2022-04-30-15-50,35
2022-04-30-15-51,35
2022-04-30-15-52,34
2022-04-30-15-53,36
2022-04-30-15-54,36
2022-04-30-15-55,35
2022-04-30-15-56,35
2022-04-30-15-57,36
2022-04-30-15-58,36
2022-04-30-15-59,38
2022-04-30-16-00,39
2022-04-30-16-01,38
2022-04-30-16-02,39
2022-04-30-16-03,40
2022-04-30-16-04,40
2022-04-30-16-05,42
2022-04-30-16-06,43
2022-04-30-16-07,43
2022-04-30-16-08,42
2022-04-30-16-09,41
2022-04-30-16-10,41
2022-04-30-16-11,41
2022-04-30-16-12,41
2022-04-30-16-13,42
2022-04-30-16-14,42
2022-04-30-16-15,43
2022-04-30-16-16,40
2022-04-30-16-17,37
2022-04-30-16-18,37
2022-04-30-16-19,37
2022-04-30-16-20,38
2022-04-30-16-21,38
2022-04-30-16-22,38
2022-04-30-16-23,36
2022-04-30-16-24,37
2022-04-30-16-25,36
2022-04-30-16-26,36
2022-04-30-16-27,36
2022-04-30-16-28,38
2022-04-30-16-29,37
2022-04-30-16-30,36
2022-04-30-16-31,37
2022-04-30-16-32,35
2022-04-30-16-33,36
